Nr,Code,Dominant,Evenness,Drought,Block,Moist,DOC,DON,NH4,NO3,InorgN,Ao1,Dg1,Lh1,Ra1,Total1,Ao2,Dg2,Lh2,Ra2,Total2,Ao3,Dg3,Lh3,Ra3,Total3,Vegevenness,SoilNmgg,SoilCmgg,Resp,NEE,Photo,CH4,N2O,X16S_ngDNA,nirS_ngDNA,nirK_ngDNA,nosZI_ngDNA,nosZII_ngDNA,AOA_ngDNA,AOB_ngDNA,Diam,RDMC,Rootbiom,SRL,RTD
11,LMD,Leontodon,Medium,1,1,31.95,48.5,4.2,0.61,0.25,0.86,2.52,2.98,2.19,5.28,12.97,29.32,3.74,1.24,3.23,37.53,19.62,29.59,1.59,0,50.8,0.719691976,3,31.1,114.7801197,-140.3032292,-255.0833489,-0.008861556,0.01344928,489600,262.2,10574,19320,778,994.0909091,7324.545455,0.1641,0.184782609,22.89960337,27407.95294,0.172413793
12,HD,None,High,1,1,33.59,48.81,4.47,0.47,0.3,0.77,2.27,3.93,0.86,4.93,11.99,27.59,6.42,0.54,2.58,37.13,7.68,32.9,0.85,0,41.43,0.523598039,2.8,30.7,140.598721,-245.7199505,-386.3186716,-0.055977074,-0.000879037,518400,446.6,17110,29000,902.6,1602.12766,19594.68085,0.1866,0.157667387,49.16679547,23600.22973,0.155022298
13,AMD,Anthox,Medium,1,1,34.22,51.19,4.79,1.03,1.5,2.53,6.06,2.04,0.39,3.14,11.63,50.22,3.59,0.33,1.58,55.72,19.22,16.72,0.61,0.05,36.6,0.557882313,3.2,33.6,113.117978,-166.9898379,-280.1078158,-0.022193367,-0.005667706,539900,1545.6,15500,31720,618.4,813.4328358,7565.298507,0.1765,0.155672823,39.73754702,26682.11661,0.153206959
14,RMD,Rumex,Medium,1,1,33.25,52.57,4.66,0.8,0.68,1.48,1.73,2.31,0.88,5.36,10.28,24.56,4.84,0.98,2.36,32.74,19.11,31.09,1.73,0.05,51.98,0.573634331,3.3,34.5,202.7258848,-311.9891624,-514.7150471,-0.018494308,0.004054187,380600,479.8,15370,35200,697,1208.870968,24760.08065,0.1939,0.165591398,51.86086646,20486.28701,0.165271517
15,DMC,Dactylis,Medium,0,1,41.31,62.96,5.65,0.7,1.21,1.9,1.45,7.51,0.7,3.67,13.33,21.54,10.06,0.85,2.16,34.61,4.82,23.11,4.11,0.37,32.41,0.604131696,3.2,37.6,78.31896622,-181.2010607,-259.520027,-0.009066265,-0.001438786,334400,274.8,7530,15838,1038.6,705.3497942,3034.567901,0.1862,0.14673913,36.36995829,26978.17481,0.136123015
16,AMC,Anthox,Medium,0,1,39.94,72.61,5.51,0.79,0.92,1.71,6.28,2.33,0.66,2.85,12.12,42.91,2.39,1.73,1.12,48.15,33.54,8.55,2.47,0.3,44.86,0.524044662,3.6,37.6,144.7708623,-316.4008589,-461.1717211,-0.016234972,-0.001829596,360400,451.4,12938,27600,601.8,413.877551,4668.367347,0.1965,0.153970827,63.98418589,17006.31674,0.193837992
17,ALC,Anthox,Low,0,1,37.37,70.55,5.7,0.6,0.58,1.18,11.27,0.81,0.45,2.11,14.64,53.49,1.2,0.21,1.22,56.12,43.45,2.19,1.19,0.11,46.94,0.23217934,3,33,79.85667539,-304.3527711,-384.2094465,-0.009362298,0.007742318,425300,455.2,12962,25800,431.4,808.4123223,2089.57346,0.204,0.159347553,85.53675376,13216.37094,0.231540565
18,DLC,Dactylis,Low,0,1,38.25,56.33,4.66,0.59,1.66,2.26,0.79,11.19,0.19,2.51,14.68,2.44,21.76,0.09,0.77,25.06,9.17,30.66,1.29,0.08,41.2,0.486824871,3,32.1,108.37164,-244.5010466,-352.8726866,0.005564181,-0.002322474,403600,636.6,13796,27020,313.4,1166.169154,18763.51575,0.1984,0.153333333,46.47272449,22779.37841,0.141946102
19,DLC,Dactylis,Low,0,2,42.16,44.08,4.91,1.24,4.03,5.28,0.59,14.51,0.29,2.29,17.68,8.88,21.53,0.28,1.06,31.75,5.4,26.88,0.19,0.11,32.58,0.36484339,2.9,34.5,104.1592652,-76.4381604,-180.5974256,-0.020847232,0.015461281,380700,296.4,10880,18356,516.6,805.7585825,9977.851606,0.1731,0.157051282,33.00236956,27456.88367,0.154671717
20,RLC,Rumex,Low,0,2,41.32,54,5.72,1.12,1.88,3,0.69,0.49,0.33,7.39,8.9,27.29,2.36,0.4,8.37,38.42,19.42,10.49,1.03,0.76,31.7,0.625360986,3.2,34.6,83.79031931,-6.985108715,-90.77542803,-0.020390146,0.009059103,377800,159.98,15942,18192,681.6,652.6442308,11312.01923,0.1702,0.1625,26.2671921,28940.35513,0.151810043
21,AMC,Anthox,Medium,0,2,41.41,57.51,6.2,0.59,0.47,1.05,6.05,2.27,0.94,3.68,12.94,43.25,2.42,0.65,2.15,48.47,23.2,7.37,1.29,0.32,32.18,0.539748973,3,32.7,189.7674238,-17.74040048,-207.5078243,-0.029326846,-0.001645279,413400,390,14172,23500,388.2,1396.740741,19545.48148,0.2133,0.146551724,80.14861179,15071.77429,0.185734353
22,DMC,Dactylis,Medium,0,2,39.95,47.86,4.49,0.94,0.32,1.26,2.03,5.39,1.08,4.76,13.26,25.16,7.24,0.73,3.41,36.54,15.09,12.98,2.83,0.31,31.21,0.706710913,3,32.3,152.3003794,-4.420750997,-156.7211304,-0.025660704,-0.007260243,379000,364.8,8930,16322,267.4,498.1790592,5988.31563,0.1878,0.142180095,40.41106477,27746.537,0.130067201
23,LMC,Leontodon,Medium,0,2,38.16,51.73,4.7,0.96,0.46,1.41,2.73,3.71,4.16,5.09,15.69,29.85,10.13,3.94,2.36,46.28,12.24,14.89,5.72,0.34,33.19,0.777203861,3.1,33.2,142.930976,79.03900414,-63.89197187,-0.022534676,-0.000461312,373700,297,7968,16454,624.8,2567.974882,38618.52433,0.1982,0.119909502,35.69644055,23434.48019,0.138308977
24,AMD,Anthox,Medium,1,2,40.48,55.63,5.55,1.03,0.33,1.37,4.95,2.66,1.53,2.43,11.57,43.28,3.12,0.98,1.84,49.22,22.77,10.41,2.4,0.04,35.62,0.602271046,3.2,33.9,80.96426899,-57.01223864,-137.9765076,0.001832186,0.020766458,487700,327.8,15146,27040,517.6,760.5670103,5107.860825,0.1938,0.125,38.39051153,25800.37,0.131396957
25,RLD,Rumex,Low,1,2,34.76,49.19,5.75,0.61,0.2,0.81,0.49,0.42,0.27,7.6,8.78,19.53,2.99,0.3,4.93,27.75,15.17,22.79,1.23,0.75,39.94,0.627324341,2.8,30.5,162.2847645,-55.23681567,-217.5215802,-0.019275977,0.008920364,326600,217,4730,14174,674.4,1964.611872,12567.80822,0.1961,0.160427807,40.41106477,22662.8195,0.146127618
26,ALD,Anthox,Low,1,2,36.2,72.14,7.45,0.64,0.14,0.77,12.48,1.42,0.42,2.2,16.52,57.27,1.83,0.27,0.98,60.35,32,9.36,1.15,0.13,42.64,0.478534058,3.4,36,107.8938328,-48.50341453,-156.3972473,-0.007464315,0.006307368,437400,278.8,7352,22120,307.6,1409.558824,16940.44118,0.1951,0.148255814,34.34940505,26871.17902,0.12442059
27,HD,None,High,1,2,35.39,55.44,4.04,0.69,0.08,0.77,4.24,5.46,1.32,5.11,16.13,35.28,7.01,1.19,2.26,45.74,19.81,24.46,2.29,0.38,46.94,0.642056555,2.8,32.6,116.7459507,-157.3686355,-274.1145863,-0.010566658,0.010064814,461900,415.4,20020,35320,627.4,1554.832347,15128.00789,0.1599,0.144694534,30.30829858,31894.03467,0.156141568
28,HC,None,High,0,2,39.55,59.41,6.15,0.83,0.72,1.55,3.71,4.4,1.9,5.28,15.29,32.35,8.37,1.25,3.32,45.29,14.07,12.76,5.15,0.37,32.35,0.773810993,3.2,34.3,136.74076,-74.83859973,-211.5793597,-0.030027269,-0.007347463,387800,206.8,6054,13368,308,650.310559,5381.15942,0.1785,0.140039448,47.81975998,24162.32394,0.165308498
29,LLC,Leontodon,Low,0,2,40.38,43.24,3.83,0.51,0.3,0.81,1.29,2.03,9.87,4.35,17.54,21.35,10.41,5.6,2.01,39.37,7.41,7.91,16.27,0.07,31.66,0.751673538,3.2,33,59.26020442,-76.2286183,-135.4888227,-0.022254746,-0.004534646,395200,235,7140,16266,514.4,591.6309013,5636.695279,0.1989,0.102822581,34.34940505,24628.42078,0.130635246
30,ALC,Anthox,Low,0,2,41.96,44.73,4.7,0.74,0.23,0.97,14.75,1.43,0.72,2.56,19.46,49.5,0.99,0.35,1.1,51.94,23.91,7.54,2.45,0.21,34.11,0.579377707,3,30.2,127.9634594,-166.283288,-294.2467474,-0.043555071,-0.0110526,417600,266.2,11702,21940,127.94,538.5146805,8138.169257,0.1788,0.137996219,49.16679547,25087.40055,0.158661161
31,RMC,Rumex,Medium,0,2,39.88,64.51,6.94,0.86,0.52,1.38,1.99,2.24,0.33,7.39,11.95,37.27,5.9,1.07,2.3,46.54,20.43,13.64,3.93,0.32,38.32,0.704418828,3.3,33.7,62.98130523,-99.02492283,-162.0062281,0.007597782,-0.001224575,384400,814.4,11850,19502,699,1043.123543,9689.97669,0.1698,0.144886364,34.34940505,28066.15765,0.157261795
32,LMD,Leontodon,Medium,1,2,35.67,51.92,4.59,1.42,0.24,1.66,3.78,3.99,2.87,4.87,15.51,35.78,7.49,2.02,3.75,49.04,17.48,36.25,3.56,0,57.29,0.750436326,3,31,62.33027056,-163.8205362,-226.1508067,-0.033007708,0.004875982,476000,328.2,11102,19880,888.6,1676.691729,15630.57644,0.17,0.160458453,37.71699379,25180.57429,0.175054705
33,LLD,Leontodon,Low,1,2,33.68,45.33,3.81,0.43,0.03,0.46,1.92,2.48,8.05,4.41,16.86,22.8,6.48,6.13,3.65,39.06,13.03,30.51,8.92,0,52.46,0.876031631,3,31.1,83.79027333,-126.4190103,-210.2092836,-0.052150468,-0.009136032,357000,276.4,5978,13756,764,1229.319372,8481.675393,0.2165,0.133122029,56.57549068,17966.23345,0.151215122
34,RMD,Rumex,Medium,1,2,35.82,42.96,6.47,0.42,0.22,0.64,1.76,2.64,0.52,6.19,11.11,20.09,8.79,0.68,5.22,34.78,20.27,37.09,0.58,0.11,58.05,0.513245509,3.1,32.6,173.4824322,-119.7478097,-293.230242,-0.022762627,-0.006679749,409100,322.4,12640,23880,593.8,1058.935361,8805.703422,0.1793,0.152019002,43.10513576,27901.39719,0.141875416
35,DLD,Dactylis,Low,1,2,35.47,46.26,4.6,0.92,0.18,1.1,0.79,14.2,0.21,2.88,18.08,15.03,18.35,0.36,1.07,34.81,4.75,55.02,0,0,59.77,0.400313561,2.8,29,174.1344945,-206.5886043,-380.7230988,-0.019520849,-0.005656785,413400,313.6,14476,24600,391.4,1032.273839,9884.107579,0.1757,0.154008439,49.16679547,26357.37068,0.156417399
36,DMD,Dactylis,Medium,1,2,34.96,47.29,4.16,1.13,0.32,1.45,2.61,8.1,1.1,4.3,16.11,27.32,10.2,1.22,1.61,40.35,10.03,41.79,1,0.01,52.83,0.416643853,3,31.3,166.3191935,-127.7166682,-294.0358617,-0.019783456,-0.003760258,523800,350.2,17052,33960,867.2,1464.965197,7674.941995,0.1776,0.176220807,55.90197293,18444.51904,0.218881857
37,RLD,Rumex,Low,1,3,36.14,39.93,3.98,0.51,0.22,0.73,0.73,0.56,0.26,3.52,5.07,37.32,4.5,0.45,4.03,46.3,23.83,10.85,0.55,0.82,36.05,0.566185072,3.4,35.3,138.1925009,-211.8183163,-350.0108172,-0.001585561,-0.003949139,402700,303.6,12116,21380,1051,764.1168289,10070.09736,0.1735,0.147692308,32.32885182,30521.28792,0.138488171
38,LMD,Leontodon,Medium,1,3,34.4,53.54,4.2,0.58,0.4,0.98,2.49,5.05,3.72,4.25,15.51,34.95,6.75,2.17,3.87,47.74,10.22,14.2,4.08,0.06,28.56,0.725752256,3.3,38,184.1311264,-194.6594883,-378.7906147,-0.021265455,-0.000515661,480400,381,9980,18960,362.4,1127.895981,7224.113475,0.1791,0.149769585,43.7786535,22362.82677,0.177450177
39,DMD,Dactylis,Medium,1,3,34.34,47.74,4.07,0.62,0.25,0.87,3.6,5.7,0.78,5.58,15.66,16.11,12.64,0.79,3.25,32.79,8.17,33.28,1.25,0.13,42.83,0.45647251,3.3,33.4,245.0150927,-183.2561847,-428.2712775,0.012168202,0.018468855,390100,576.2,17650,26720,354.2,848.7704918,5227.254098,0.2066,0.155993432,63.98418589,17679.28937,0.168708933
40,LLD,Leontodon,Low,1,3,35.92,55.83,4.62,0.41,0.19,0.6,1.46,1.71,9.52,4.45,17.14,22.37,6.41,6.27,2.41,37.46,7.01,16.88,12.47,0,36.36,0.947208742,3.5,35.4,50.2224761,-191.8265134,-242.0489895,-0.011729977,-0.003087831,448600,461.2,11476,26360,800.2,1440,11531.81818,0.2108,0.125490196,43.10513576,17328.55547,0.165289256
41,DLC ,Dactylis,Low,0,3,42.23,51.96,4.85,0.8,2.54,3.34,1.19,10.87,0.35,3.89,16.3,17.17,14.05,0.26,2.55,34.03,9.19,27.27,1.26,0.5,38.22,0.54301594,3.5,35,120.8959852,-166.8671234,-287.7631087,-0.018764941,0.007768887,447000,322,12304,25880,409,496.2861073,6486.9326,0.2081,0.126712329,49.84031322,23183.92014,0.126777454
42,RLC,Rumex,Low,0,3,40.78,57.99,4.94,0.57,0.31,0.88,0.65,0.51,0.48,8.73,10.37,24.63,3.21,0.79,5.1,33.73,21.29,7.5,1.85,0.95,31.59,0.633987098,3.2,33.5,125.9168084,-279.4553909,-405.3721993,0.009782382,-0.012517042,456300,319.4,17968,29440,453,535.8585859,4928.619529,0.173,0.139908257,41.08458252,21936.37738,0.193897012
43,ALC,Anthox,Low,0,3,39.84,61.52,5.91,0.88,0.63,1.51,8.88,1.12,0.19,1.93,12.12,52.84,0.77,0.34,1.94,55.89,35.88,3.32,0.92,0.37,40.49,0.318176072,3.3,33.7,161.2887425,-234.7829722,-396.0717147,-0.020990071,0.003025984,471100,533.8,15718,28420,389.8,585.326087,2976.086957,0.1848,0.149253731,40.41106477,33657.66717,0.110782866
44,DMC,Dactylis,Medium,0,3,41,55.97,5.01,0.67,0.48,1.15,2.35,7.94,0.53,3.53,14.35,29.49,9.04,0.58,2.66,41.77,14.33,15.15,2.02,0.34,31.84,0.675282582,3.3,35,264.14864,-184.0400318,-448.1886718,0.00778843,0.006209152,371400,298.6,8972,16948,192.84,756.6801619,5374.493927,0.1771,0.152631579,39.06402928,24933.54897,0.162875597
45,AMD,Anthox,Medium,1,3,38.1,50.16,4.53,0.87,0.26,1.13,4.97,2.85,1.53,5.19,14.54,33.51,2.59,1.11,3.55,40.76,23.56,22.3,1.83,0,47.69,0.75451926,3.6,36,327.3972849,-141.8080601,-469.205345,-0.00287597,-0.000539481,477100,280.6,9924,21740,710.4,730.2631579,5768.796992,0.1813,0.144067797,34.34940505,30544.08314,0.126771066
46,HD,None,High,1,3,35.15,44.55,3.71,0.56,0.41,0.97,3.39,3.24,1.69,5.13,13.45,29.68,4.69,1.55,3.13,39.05,22.49,23.56,2.44,0,48.49,0.780500316,2.9,31.1,106.7296934,-51.03413196,-157.7638254,0.016815599,0.015509323,407400,335.6,14000,24620,696,886.3720074,13663.72007,0.1806,0.167701863,36.36995829,27204.19222,0.143426295
47,ALD,Anthox,Low,1,3,35.66,57.73,4.86,0.65,0.39,1.04,9.62,1.53,0.44,4.26,15.85,41.36,1.69,0.37,2.21,45.63,39.35,9.81,0.4,0.25,49.81,0.412279207,3.5,35.7,145.7690271,146.5268929,0.757865852,-0.011989314,0.016447792,390200,454,6518,18448,647.8,963.4529148,6322.869955,0.1754,0.168674699,28.28774534,32670.34405,0.126658625
48,RMD,Rumex,Medium,1,3,34.75,60.97,5.37,0.31,0.25,0.57,2.92,1.95,0.92,6.06,11.85,30.95,5.56,1.18,3.77,41.46,20.38,18.54,2.14,0.01,41.07,0.622327215,2.9,30.8,64.12473398,-147.7825588,-211.9072927,-0.028885072,-0.002775175,472900,538.6,16232,26680,664,776.1710794,3306.720978,0.1911,0.151595745,38.39051153,24698.47684,0.14115899
49,DLD,Dactylis,Low,1,3,35.88,54.56,5.31,0.84,0.48,1.32,0.87,14.78,0.2,3.05,18.9,6.43,20.59,0.22,0.98,28.22,4.35,47.82,0.04,0.04,52.25,0.215702363,3.1,32.3,74.45299058,-80.58686618,-155.0398568,-0.01259164,-0.000805355,385400,649.2,9850,18822,645.4,1083.278689,3177.540984,0.194,0.151843818,47.14624223,21940.687,0.154185022
50,RMC,Rumex,Medium,0,3,40.55,56.79,5.23,0.62,0.85,1.47,1.88,2.47,0.88,5.92,11.15,28.02,5.19,1.15,3.8,38.16,16.11,10.02,1.59,0.2,27.92,0.63740847,3.2,32.4,68.5525189,-285.0864618,-353.6389807,0.006724326,0.016309702,461500,444,20320,28360,179.36,452.7102804,4082.616822,0.2003,0.14,37.71699379,26019.24857,0.122030944
51,LMC,Leontodon,Medium,0,3,41.5,63.76,6.12,0.47,1.09,1.57,3.08,3.13,2.8,4.12,13.13,35.52,7.35,2.46,3.3,48.63,14.34,8.58,5.18,0.35,28.45,0.772611168,3,30.8,79.70712498,-337.5114594,-417.2185844,-0.01942964,0.003961851,462600,291.6,9004,18786,425.8,781.0416667,2952.5,0.1602,0.131498471,28.96126309,36259.22,0.136811963
52,HC,None,High,0,3,40.33,59.3,5.38,0.7,0.99,1.69,2.93,3.21,1.73,5.91,13.78,39.76,6.1,1.9,2.21,49.97,21.5,10.54,4.31,0.69,37.04,0.71981102,3.5,34.7,127.7193238,-201.0567165,-328.7760403,0.005774839,0.004884872,405100,473,10522,21000,330,668.9440994,1673.913043,0.187,0.135225376,54.55493744,24861.63716,0.146473779
53,AMC,Anthox,Medium,0,3,40.28,70.59,5.75,0.88,1.51,2.38,6.06,2.27,0.88,5.04,14.25,38.16,3.36,0.79,2.91,45.22,25.84,9.2,2.22,0.29,37.55,0.581807079,3.5,38,175.3694064,-33.68142272,-209.0508292,-0.008393789,-0.02841381,473500,296,13166,26140,335,620.5323194,5250,0.1634,0.137071651,29.63478083,38270.43364,0.124645892
54,LLC,Leontodon,Low,0,3,38.59,56.55,4.82,0.38,0.28,0.65,2.38,2.14,5.17,5.54,15.23,13.84,10.75,4.48,2.84,31.91,17.52,10.72,12.23,0.4,40.87,0.808237721,3.3,33.7,108.3862677,-214.0876064,-322.473874,-0.024410536,-0.005435442,300900,366.8,9168,16400,423.4,864.9048626,5268.710359,0.1847,0.134228188,40.41106477,24210.71,0.154083205
55,RLC,Rumex,Low,0,4,39.45,48.06,5.45,0.03,1.09,1.12,0.38,0.7,0.02,6.92,8.02,16.54,3.22,0.28,4.97,25.01,20.54,8.91,1.35,0.43,31.23,0.597421467,3.4,34.4,95.63345437,-46.99660165,-142.630056,-0.014251406,0.015322448,399000,170.04,6298,16342,333.6,752.6436782,4596.091954,0.1816,0.167364017,26.94070985,20753.59875,0.186046512
56,ALC,Anthox,Low,0,4,42.05,84.42,9.22,1.32,1.25,2.57,10.69,1.71,0.01,3.29,15.7,46.86,2.41,0.2,0.96,50.43,24.7,6.98,0.2,0.28,32.16,0.437973288,2.8,28.7,107.2494473,-55.40008942,-162.6495367,-0.038247711,-0.010414931,425500,390.4,14148,24940,135.8,230.9664694,1633.530572,0.1901,0.155813953,45.12568899,24436.3097,0.144210073
57,DMC,Dactylis,Medium,0,4,41.97,79.22,8.76,0,1.44,1.44,2.84,7.48,0.25,4.67,15.24,27.48,14.49,0.32,2.78,45.07,17.35,23.04,1.31,0.7,42.4,0.629194966,3.1,31.8,108.2484934,-150.6058355,-258.8543288,0.007027332,-0.001020034,470200,125.3,6318,15858,256.8,614.8362235,2832.369942,0.1949,0.145679012,39.73754702,27852.72814,0.120408163
58,LLC,Leontodon,Low,0,4,42.54,78,7.49,0.01,0.51,0.52,2.19,1.69,7.02,5.55,16.45,34.05,4.86,4.73,3.82,47.46,17.95,7.58,11.78,0.23,37.54,0.772382634,3.3,32.7,54.64991271,-100.7340729,-155.3839856,-0.007978598,-0.001842215,399700,466.4,11522,21880,596,578.2407407,2299.768519,0.1844,0.106457243,41.08458252,29199.05328,0.128232079
59,RMC,Rumex,Medium,0,4,40.88,72,8.93,0,0.8,0.8,2.01,1.63,0.5,6.05,10.19,31.84,4.71,0.67,5.3,42.52,23.92,14.19,0.28,0.94,39.33,0.573248014,3,29.6,89.93674746,-71.96898535,-161.9057328,-0.018718392,0.00677823,404200,755.8,12044,23140,942.4,644.1717791,2227.811861,0.1759,0.13832853,32.32885182,26938.17896,0.152768937
60,ALD,Anthox,Low,1,4,35.64,58.02,5.81,0,0.33,0.33,13.12,1.22,0.56,2.83,17.73,57.14,2.83,0.53,1.21,61.71,27.81,6.16,2.44,0.34,36.75,0.529258925,3,30,112.6046263,-109.1473061,-221.7519324,-0.007250271,-0.000753586,395500,399.4,6668,14978,769.4,620.3703704,3562.222222,0.1644,0.150943396,32.32885182,38574.31563,0.122168491
61,AMD,Anthox,Medium,1,4,35.56,56.04,6.53,0.11,0.45,0.57,5.92,4.74,0.83,2.28,13.77,46.62,3.48,1.04,2.73,53.87,14.8,11.5,0,0.25,26.55,0.666389059,3,30.6,50.80613182,-154.8192668,-205.6253987,0.004305047,-0.005013975,472800,614.8,17784,29160,770.8,1216.317016,5097.902098,0.1764,0.14025974,36.36995829,31345.98704,0.130560928
62,RMD,Rumex,Medium,1,4,36.6,53.42,4.75,0,0.26,0.26,1.93,1.5,1.07,7.04,11.54,35.02,4.34,1.79,3.44,44.59,18.93,20.92,1.84,0.5,42.19,0.646757456,2.8,31.3,65.43071513,-147.1729791,-212.6036942,-0.018649352,0.013597493,405700,346.4,7902,18274,445.4,1025.824176,1531.593407,0.1783,0.15248227,28.96126309,29797.77558,0.134417005
63,DMD,Dactylis,Medium,1,4,36.44,56.08,5.59,0,0.29,0.29,1.78,8.31,0.75,5.84,16.68,23.43,10.08,0.52,1.66,35.69,11.12,28.3,0.93,0.29,40.64,0.525380111,3,31.2,55.70652255,-138.2237696,-193.9302922,-0.015517712,-0.006664514,388400,527,11924,19914,810,955.5223881,3933.731343,0.1852,0.187878788,62.63715039,13264.69172,0.279951836
64,LMC,Leontodon,Medium,0,4,42.24,44.06,3.51,0,0.46,0.46,2.51,3.9,2.63,3.61,12.65,23.99,6.85,2.21,2.73,35.78,17.18,13.77,8.14,0.2,39.29,0.780633403,3,30.7,62.07097327,-55.97116585,-118.0421391,-0.007461431,-0.010192396,455800,303.6,9618,17774,260.4,605.4054054,2429.954955,0.195,0.13372093,46.47272449,23689.59116,0.141277641
65,AMC,Anthox,Medium,0,4,41.7,50.94,4.68,0,1.01,1.01,4.88,2.95,0.73,3.66,12.22,36.71,3.51,0.59,3.16,43.97,30.71,10.15,2.53,0.41,43.8,0.574338472,3,30.8,10.00013234,-56.41479464,-66.41492698,-0.022398493,-0.005364955,524800,525,22720,35860,477.4,592.3774955,2835.3902,0.1767,0.145220588,53.20790195,27496.33987,0.148273273
