,Fieldnr,code,Dominant,Evenness,Drought,Block,Sampling,Ao,Dg,Lh,Ra,Moist,Resp,NEE,Photo,CH4,N2O,X16S_ngDNA,nirS_ngDNA,nirK_ngDNA,nosZI_ngDNA,nosZII_ngDNA,AOA_ngDNA,AOB_ngDNA
B03A,18,DLC,Dactylis,Low,0,1,1,2.44,21.76,0.09,0.77,23.83333333,128.865149,-339.7130527,-468.5782017,-0.053710638,0.003699112,957400,467.4,5286,9060,641.8493205,1665.714286,1244.842732
B03B,17,ALC,Anthox,Low,0,1,2,NA,NA,NA,NA,19.96666667,460.5415119,-322.0018436,-782.5433555,-0.030312204,-0.028640467,319900,663.4,4632,5976,418.2,312.9783694,426.1231281
B03C,17,ALC,Anthox,Low,0,1,3,NA,NA,NA,NA,34.7,323.1189971,-142.6772759,-465.796273,-0.038219341,0.013926211,713000,774.8,9192,16256,671,406.7924528,3741.132075
B03D,34,RMD,Rumex,Medium,1,2,4,20.27,37.09,0.58,0.11,29.33333333,173.4824322,-119.7478097,-293.230242,-0.022762627,-0.006679749,409100,322.4,12640,23880,593.8,1058.935361,8805.703422
B04A,26,ALD,Anthox,Low,1,2,1,57.27,1.83,0.27,0.98,23.3,210.9420617,-578.2306919,-789.1727536,-0.023773612,-0.002278272,876200,599.4,4866,8254,532.5595294,1551.22549,1253.219375
B04B,26,ALD,Anthox,Low,1,2,2,NA,NA,NA,NA,4.9,84.51911322,10.11673552,-74.4023777,-0.001477751,-0.002237485,568900,493.8,6052,7450,932.2,258.677686,4544.958678
B04C,26,ALD,Anthox,Low,1,2,3,NA,NA,NA,NA,30.7,305.3452795,-206.2968931,-511.6421726,NA,NA,874400,319.2,13178,21040,523.4,246.0773481,2187.845304
B04D,42,RLC,Rumex,Low,0,3,4,21.29,7.5,1.85,0.95,40.33333333,125.9168084,-279.4553909,-405.3721993,0.009782382,-0.012517042,456300,319.4,17968,29440,453,535.8585859,4928.619529
B05A,34,RMD,Rumex,Medium,1,2,1,20.09,8.79,0.68,5.22,25.4,216.6071889,-493.6229021,-710.230091,-0.057144631,-0.003475248,1037700,890.2,6014,8706,576.8260126,1217.435897,1209.324496
B05B,34,RMD,Rumex,Medium,1,2,2,NA,NA,NA,NA,2.8,118.4450896,79.5884103,-38.85667935,0.007132143,0.003091815,750000,1191.2,6628,8034,1427.2,322.6206897,2833.655172
B05C,34,RMD,Rumex,Medium,1,2,3,NA,NA,NA,NA,28.1,498.4492932,-108.1311911,-606.5804844,-0.030348091,0.025474149,904200,1295,11848,21100,855.8,89.82630273,3492.555831
B05D,50,RMC,Rumex,Medium,0,3,4,16.11,10.02,1.59,0.2,36.96666667,68.5525189,-285.0864618,-353.6389807,0.006724326,0.016309702,461500,444,20320,28360,179.36,452.7102804,4082.616822
B06A,42,RLC,Rumex,Low,0,3,1,24.63,3.21,0.79,5.1,27.56666667,300.6594702,-456.1272205,-756.7866907,-0.019717139,0.024216196,1156700,989.4,6126,9026,585.2308372,1419.282511,1039.334867
B06B,42,RLC,Rumex,Low,0,3,2,NA,NA,NA,NA,20.56666667,347.3380764,-216.0765679,-563.4146443,-0.043935878,0.005559793,850700,1697.8,12032,15512,713.2,374.1758242,1897.93956
B06C,1,DMD,Dactylis,Medium,1,1,4,8.05,29.88,0.38,0.03,31.83333333,77.54261584,-106.6039183,-184.1465341,-0.014091623,0.000993284,429700,2886,17730,33160,1112.8,1314.008621,9735.560345
B06D,58,LLC,Leontodon,Low,0,4,4,17.95,7.58,11.78,0.23,31.63333333,54.64991271,-100.7340729,-155.3839856,-0.007978598,-0.001842215,399700,466.4,11522,21880,596,578.2407407,2299.768519
B07A,50,RMC,Rumex,Medium,0,3,1,28.02,5.19,1.15,3.8,29.6,442.8479577,-440.4197734,-883.2677311,-0.055289614,-0.001889647,876000,815,5316,8360,541.3114125,1681.182796,578.4812052
B07B,50,RMC,Rumex,Medium,0,3,2,NA,NA,NA,NA,19.63333333,385.9456434,-238.8791988,-624.8248422,-0.035830471,-0.008252503,777300,1444.2,9302,11062,592.4,270.8987161,1844.079886
B07C,9,RLC,Rumex,Low,0,1,4,24.05,15.1,1.56,0.71,31.53333333,126.1889676,-247.0642678,-373.2532354,-0.005499607,-0.001058048,422600,367.4,14330,28420,967.8,769.8461538,5819.076923
B07D,66,HC,None,High,0,4,4,25.68,12.6,3.41,0.61,31.13333333,87.65563091,-117.252027,-204.907658,-0.037945912,-0.014229623,437900,164.3,12360,19690,259.8,587.4485597,2665.63786
B08A,58,LLC,Leontodon,Low,0,4,1,34.05,4.86,4.73,3.82,25.73333333,268.5916637,-612.2983171,-880.8899808,-0.043627862,0.003855722,815800,653.8,4900,7932,656.8087778,1224.693878,1267.755102
B08B,58,LLC,Leontodon,Low,0,4,2,NA,NA,NA,NA,17.8,794.2131787,-545.6157335,-1339.828912,-0.04109437,0.004722027,504700,895.6,6710,9414,557.2,451.1111111,895.3968254
B08C,42,RLC,Rumex,Low,0,3,3,NA,NA,NA,NA,36.06666667,350.7708424,-169.9611567,-520.731999,-0.033019239,0.00424183,902700,1216.6,23360,32040,658.4,614.2180095,2629.85782
B09A,66,HC,None,High,0,4,1,38.01,4.89,0.82,3.88,26.63333333,130.1936371,-510.7209078,-640.9145449,-0.043543985,0.005486859,807400,369.2,5258,7194,609.6798809,1619.423077,940.3846154
B09B,66,HC,None,High,0,4,2,NA,NA,NA,NA,17.86666667,436.5605174,33.5379237,-403.0225937,-0.010782991,0.014471142,622500,740.6,5920,9804,290.8,287.0159453,780.6378132
B09C,50,RMC,Rumex,Medium,0,3,3,NA,NA,NA,NA,35.8,370.423201,-84.16296539,-454.5861664,-0.042785635,-0.008527207,719700,1760.8,7824,19470,791.8,563.5792779,3275.039246
B10C,58,LLC,Leontodon,Low,0,4,3,NA,NA,NA,NA,35.6,454.8032218,-85.61344104,-540.4166628,-0.049539203,0.006848496,732100,585,10954,21680,669.2,390.4024768,6427.55418
B11C,66,HC,None,High,0,4,3,NA,NA,NA,NA,34.33333333,478.5524754,-170.1412427,-648.6937181,-0.013583597,0.002183268,1086400,240,13828,25860,409.8,353.4050179,4215.949821
C01A,3,RLD,Rumex,Low,1,1,1,21.04,1.97,0.25,4.23,26.5,117.2727273,-432.3280732,-549.6008005,-0.007195021,0.001771496,1200000,784.4,6786,10334,461.4171451,1479.573171,1326.336761
C01B,3,RLD,Rumex,Low,1,1,2,NA,NA,NA,NA,3.4,80.2199877,10.4360726,-69.7839151,0.005117051,0.00939247,771600,1221.8,10256,13280,847.4,823.8442822,3825.060827
C01C,3,RLD,Rumex,Low,1,1,3,NA,NA,NA,NA,25.9,425.418417,-58.677066,-484.095483,-0.040990061,-0.004196666,816700,461,8126,17048,239.4,844.3010753,1502.795699
C01D,19,DLC,Dactylis,Low,0,2,4,5.4,26.88,0.19,0.11,30.33333333,104.1592652,-76.4381604,-180.5974256,-0.020847232,0.015461281,380700,296.4,10880,18356,516.6,805.7585825,9977.851606
C02A,11,LMD,Leontodon,Medium,1,1,1,29.32,3.74,1.24,3.23,27.23333333,186.1827217,-535.5956131,-721.7783348,-0.006867884,-0.004244324,1030100,572.6,7490,10766,696.8300931,1608.854167,3654.715887
C02B,11,LMD,Leontodon,Medium,1,1,2,NA,NA,NA,NA,3.733333333,22.11877503,28.45877817,6.340003147,-0.002111315,-0.004539877,633300,877.2,8504,10660,1656.8,470.56,8161.76
C02C,11,LMD,Leontodon,Medium,1,1,3,NA,NA,NA,NA,27.93333333,595.2918559,14.34555799,-580.9462979,-0.056236814,0.017142608,946500,1448.2,12966,23360,1860.8,1204.526749,874.8971193
C02D,27,HD,None,High,1,2,4,19.81,24.46,2.29,0.38,32.83333333,116.7459507,-157.3686355,-274.1145863,-0.010566658,0.010064814,461900,415.4,20020,35320,627.4,1554.832347,15128.00789
C03A,19,DLC,Dactylis,Low,0,2,1,8.88,21.53,0.28,1.06,24.46666667,128.2382934,-474.5370445,-602.7753379,-0.001090123,0.000415555,836700,639.8,4856,7510,855.8137933,1518.037135,4608.445042
C03B,19,DLC,Dactylis,Low,0,2,2,NA,NA,NA,NA,19.4,294.4354109,-406.523043,-700.9584539,-0.009897582,0.022740094,657800,719.2,6500,7386,686.8,458.4033613,846.6386555
C03C,19,DLC,Dactylis,Low,0,2,3,NA,NA,NA,NA,34.26666667,303.1404216,-249.7471434,-552.887565,NA,NA,628700,282,10544,20880,822.2,518.2468694,2855.813953
C03D,35,DLD,Dactylis,Low,1,2,4,4.75,55.02,0,0,33.46666667,174.1344945,-206.5886043,-380.7230988,-0.019520849,-0.005656785,413400,313.6,14476,24600,391.4,1032.273839,9884.107579
C04B,27,HD,None,High,1,2,2,NA,NA,NA,NA,5.6,52.1278109,24.28016524,-27.84764566,0.004823482,0.009493392,710400,633.2,4518,8524,1771.6,718.6324786,479.6581197
C04C,27,HD,None,High,1,2,3,NA,NA,NA,NA,26.23333333,356.2240525,-236.4251951,-592.6492476,-0.006389164,0.012577933,1149000,183.48,13724,22420,1286.8,44.65709729,6140.350877
C04D,43,ALC,Anthox,Low,0,3,4,35.88,3.32,0.92,0.37,38.86666667,161.2887425,-234.7829722,-396.0717147,-0.020990071,0.003025984,471100,533.8,15718,28420,389.8,585.326087,2976.086957
C05A,35,DLD,Dactylis,Low,1,2,1,15.03,18.35,0.36,1.07,24.43333333,325.7798922,-464.024912,-789.8048042,-0.044249728,-0.005745659,661600,340.4,3072,4788,521.3585673,2018.320611,1622.570431
C05B,35,DLD,Dactylis,Low,1,2,2,NA,NA,NA,NA,2.7,153.0367365,84.37027327,-68.66646327,0.005943986,-0.002431104,552700,1850,10570,14646,1816.6,638.0582524,1285.825243
C05C,35,DLD,Dactylis,Low,1,2,3,NA,NA,NA,NA,29.36666667,721.4394791,-181.8264689,-903.265948,NA,NA,846000,436.4,14070,24320,998.4,1302.424242,3605.757576
C05D,51,LMC,Leontodon,Medium,0,3,4,14.34,8.58,5.18,0.35,39.53333333,79.70712498,-337.5114594,-417.2185844,-0.01942964,0.003961851,462600,291.6,9004,18786,425.8,781.0416667,2952.5
C06A,43,ALC,Anthox,Low,0,3,1,52.84,0.77,0.34,1.94,26.36666667,216.1088852,-389.8366232,-605.9455084,-0.020245884,-0.00357802,795400,470.8,2930,9408,828.0134638,257.6419214,3135.755332
C06B,43,ALC,Anthox,Low,0,3,2,NA,NA,NA,NA,20.23333333,317.835467,-174.7775025,-492.6129695,-0.041731079,0.004421028,652400,826,5862,7476,843.6,419.8113208,3652.201258
C06C,2,ALD,Anthox,Low,1,1,4,35.93,4.35,1.47,0,29.93333333,172.5589609,-122.3912876,-294.9502486,-0.030523825,0.001480066,446300,468,11032,23380,567.2,1084.074074,4744.814815
C06D,59,RMC,Rumex,Medium,0,4,4,23.92,14.19,0.28,0.94,36.26666667,89.93674746,-71.96898535,-161.9057328,-0.018718392,0.00677823,404200,755.8,12044,23140,942.4,644.1717791,2227.811861
C07A,51,LMC,Leontodon,Medium,0,3,1,35.52,7.35,2.46,3.3,30.1,269.9001116,-526.135199,-796.0353105,-0.049943111,0.015645147,754600,317.4,3254,6754,246.8130745,1253.99061,1948.751685
C07B,51,LMC,Leontodon,Medium,0,3,2,NA,NA,NA,NA,22.1,415.2180783,-307.7770024,-722.9950808,-0.037112108,-0.01414088,805000,1038,9646,11342,680.6,536.770428,2851.750973
C07C,10,DLD,Dactylis,Low,1,1,4,3.35,40.55,0,0,32.26666667,212.2162027,-254.1651703,-466.3813729,-0.000364447,0.002495685,413500,489,13430,24880,656.4,1299.166667,11565.41667
C08A,59,RMC,Rumex,Medium,0,4,1,31.84,4.71,0.67,5.3,28.46666667,245.7598894,-408.8998172,-654.6597066,NA,NA,420700,193.3,1472.2,3818,541.9475927,1385.839416,553.1386861
C08B,59,RMC,Rumex,Medium,0,4,2,NA,NA,NA,NA,17.8,563.1231011,-289.8068136,-852.9299146,-0.041837116,0.000880928,795200,1736.2,12222,13478,837.6,590.4991948,1066.344605
C08C,44,DMC,Dactylis,Medium,0,3,3,NA,NA,NA,NA,36.03333333,310.9285956,-150.8103538,-461.7389494,-0.023081449,0.01843106,813100,712,7168,21860,629.6,643.3408578,2596.388262
C09A,67,DLC,Dactylis,Low,0,4,1,11.61,18.43,0.34,1.33,27.06666667,145.5422009,-451.0695413,-596.6117422,-0.005998042,-0.007421286,814600,462,4520,6270,493.664702,1349.795082,1391.393443
C09B,67,DLC,Dactylis,Low,0,4,2,NA,NA,NA,NA,19.9,357.183575,-6.065369179,-363.2489442,-0.009163034,0.024959187,575500,1482.2,8904,9974,509.8,364.6680942,215.2034261
C09C,51,LMC,Leontodon,Medium,0,3,3,NA,NA,NA,NA,37.06666667,310.3214041,-167.6183817,-477.9397858,-0.024015863,0.014184479,820600,1208.4,9902,21080,940.8,352.739726,1140.239726
C10C,59,RMC,Rumex,Medium,0,4,3,NA,NA,NA,NA,36.73333333,317.1693403,-777.5530571,-1094.722397,-0.028999912,-0.027045056,815200,740.2,10508,19922,734.6,485.0220264,1237.22467
C11C,67,DLC,Dactylis,Low,0,4,3,NA,NA,NA,NA,34.3,510.2583189,-372.9993293,-883.2576482,-0.012338957,0.002125184,848300,326,13326,23640,444.6,607.3660714,4539.285714
D01A,4,LLD,Leontodon,Low,1,1,1,17.28,8.58,6.33,1.88,23.86666667,120,-359.5535457,-479.5535457,-0.003254663,-0.002213507,876300,743.8,5210,8274,440.2058717,1220.646766,1736.876886
D01B,4,LLD,Leontodon,Low,1,1,2,NA,NA,NA,NA,4.966666667,112.9980898,18.71725648,-94.28083332,0.027788407,-0.014918908,614900,501.8,6212,8496,584,700.1904762,2659.809524
D01C,4,LLD,Leontodon,Low,1,1,3,NA,NA,NA,NA,24.93333333,319.8979508,-141.0663402,-460.964291,0.041778794,0.002723522,NA,NA,NA,NA,312.2,1149.41452,2392.974239
D01D,20,RLC,Rumex,Low,0,2,4,19.42,10.49,1.03,0.76,28.93333333,83.79031931,-6.985108715,-90.77542803,-0.020390146,0.009059103,377800,159.98,15942,18192,681.6,652.6442308,11312.01923
D02A,12,HD,None,High,1,1,1,27.59,6.42,0.54,2.58,27.1,176.4366274,-363.9500741,-540.3867015,-0.044877505,0.003815825,1082000,731.2,5572,9488,463.9880424,1468.722467,1468.566551
D02B,12,HD,None,High,1,1,2,NA,NA,NA,NA,2.466666667,23.68596681,22.296865,-1.389101813,0.008678575,-0.012217787,552100,1473.4,8508,12468,1047.2,471.969697,9112.272727
D02C,12,HD,None,High,1,1,3,NA,NA,NA,NA,27.2,227.3770264,-102.5769307,-329.9539571,-0.035980437,0.040941549,998600,592,11808,24960,629.8,900.4819277,2486.746988
D02D,28,HC,None,High,0,2,4,14.07,12.76,5.15,0.37,31.86666667,136.74076,-74.83859973,-211.5793597,-0.030027269,-0.007347463,387800,206.8,6054,13368,308,650.310559,5381.15942
D03A,20,RLC,Rumex,Low,0,2,1,27.29,2.36,0.4,8.37,27.1,128.1445495,-555.5848076,-683.7293571,-0.007116944,0.008594293,869100,724.8,5514,7100,496.7974284,1216.701903,1554.83838
D03B,20,RLC,Rumex,Low,0,2,2,NA,NA,NA,NA,18.83333333,727.7075766,-328.9979567,-1056.705533,-0.030952885,0.00270357,680900,1084.8,10054,9288,794.4,259.8130841,2197.383178
D03C,20,RLC,Rumex,Low,0,2,3,NA,NA,NA,NA,33.53333333,453.9508653,-402.1087335,-856.0595988,NA,NA,807400,387.2,12692,21700,766,499.1718427,6077.018634
D03D,36,DMD,Dactylis,Medium,1,2,4,10.03,41.79,1,0.01,30.26666667,166.3191935,-127.7166682,-294.0358617,-0.019783456,-0.003760258,523800,350.2,17052,33960,867.2,1464.965197,7674.941995
D04A,28,HC,None,High,0,2,1,32.35,8.37,1.25,3.32,24.66666667,485.4173441,-607.6653498,-1093.082694,-0.024288754,0.012327555,731900,668.6,4804,6740,636.3703108,1221.571906,1160.88234
D04B,28,HC,None,High,0,2,2,NA,NA,NA,NA,21.6,498.9844172,-501.4663037,-1000.450721,-0.056519181,0.001094451,469300,515.4,5024,5434,401.4,357.7464789,559.1549296
D04C,28,HC,None,High,0,2,3,NA,NA,NA,NA,33.16666667,435.270052,-253.6386634,-688.9087155,-0.491817226,-0.005411801,728600,351.8,8246,15218,857,236.672326,2391.511036
D04D,44,DMC,Dactylis,Medium,0,3,4,14.33,15.15,2.02,0.34,33.56666667,264.14864,-184.0400318,-448.1886718,0.00778843,0.006209152,371400,298.6,8972,16948,192.84,756.6801619,5374.493927
D05A,36,DMD,Dactylis,Medium,1,2,1,27.32,10.2,1.22,1.61,23.63333333,66.30070155,-321.2497956,-387.5504971,-0.031771537,0.015828404,626400,601.2,3422,6534,781.6283099,1215.845824,1264.773899
D05B,36,DMD,Dactylis,Medium,1,2,2,NA,NA,NA,NA,3.533333333,52.64339692,70.95104646,18.30764954,-0.006196636,0.009167905,617000,564.8,4960,7526,1523.4,428.8888889,420
D05C,36,DMD,Dactylis,Medium,1,2,3,NA,NA,NA,NA,28.06666667,370.0695259,-179.0983658,-549.1678917,-0.068601894,0.032788042,1188200,1026.6,20500,31840,821.4,1016.938111,7739.413681
D05D,52,HC,None,High,0,3,4,21.5,10.54,4.31,0.69,37.43333333,127.7193238,-201.0567165,-328.7760403,0.005774839,0.004884872,405100,473,10522,21000,330,668.9440994,1673.913043
D06A,44,DMC,Dactylis,Medium,0,3,1,29.49,9.04,0.58,2.66,26.86666667,250.926331,-393.3724607,-644.2987917,-0.033088685,-0.00328184,1055600,784.2,6418,8252,81.35778767,431.8302387,659.3763327
D06B,44,DMC,Dactylis,Medium,0,3,2,NA,NA,NA,NA,19.3,493.7210317,-254.6686658,-748.3896974,-0.013763015,-0.007975072,846000,1188.8,12198,14370,576.6,136.3636364,828.9772727
D06C,3,RLD,Rumex,Low,1,1,4,21.88,14.54,1.31,0.59,32.26666667,92.62599474,-147.8565442,-240.4825389,-0.022629207,0.002565924,440700,419.8,7606,15944,1091.2,1521.132075,16006.79245
D06D,60,ALD,Anthox,Low,1,4,4,27.81,6.16,2.44,0.34,33.6,112.6046263,-109.1473061,-221.7519324,-0.007250271,-0.000753586,395500,399.4,6668,14978,769.4,620.3703704,3562.222222
D07A,52,HC,None,High,0,3,1,39.76,6.1,1.9,2.21,26.16666667,325.4975882,-319.1774744,-644.6750626,-0.007714163,0.001534984,910600,600.6,4332,7744,768.7398255,1505.474453,683.2802688
