"","taxonomy"
"OTU4477","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Sebacinales; f__unidentified; g__unidentified; s__Sebacinales_sp_SH197530.07FU"
"OTU4478","k__Fungi"
"OTU4479","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Bolbitiaceae"
"OTU2869","k__Fungi"
"OTU2868","k__Fungi"
"OTU8034","k__Fungi; p__Ascomycota; c__Archaeorhizomycetes; o__Archaeorhizomycetales; f__Archaeorhizomycetaceae; g__Archaeorhizomyces"
"OTU8035","k__Fungi; p__Ascomycota; c__Archaeorhizomycetes"
"OTU8036","k__Fungi"
"OTU8037","k__Protista; p__Cercozoa; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Cercozoa_sp_SH473065.07FU"
"OTU2739","k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Claroideoglomeraceae; g__unidentified; s__Claroideoglomeraceae_sp_SH206039.07FU"
"OTU2738","k__Fungi; p__Chytridiomycota"
"OTU7929","k__Fungi"
"OTU7928","k__Fungi; p__Ascomycota; c__Archaeorhizomycetes; o__Archaeorhizomycetales; f__Archaeorhizomycetaceae; g__Archaeorhizomyces; s__Archaeorhizomyces_sp_SH222037.07FU"
"OTU2735","k__Fungi"
"OTU7926","k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Incertae_sedis; f__Myxotrichaceae"
"OTU2737","k__Fungi"
"OTU2736","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Cantharellales; f__Ceratobasidiaceae; g__unidentified; s__Ceratobasidiaceae_sp_SH008006.07FU"
"OTU8038","k__Fungi"
"OTU7922","k__Fungi; p__Rozellomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Rozellomycota_sp_SH469173.07FU"
"OTU2733","k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified"
"OTU7920","k__Fungi; p__Ascomycota"
"OTU1189","k__Protista; p__Cercozoa; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Cercozoa_sp_SH471273.07FU"
"OTU1188","k__Fungi"
"OTU1187","k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified"
"OTU1186","Unassignable"
"OTU1185","k__Fungi"
"OTU1184","k__Protista; p__Cercozoa; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Cercozoa_sp_SH486540.07FU"
"OTU1183","k__Fungi"
"OTU1182","k__Fungi"
"OTU1181","k__Fungi"
"OTU1180","k__Fungi"
"OTU4294","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Cortinariaceae; g__Cortinarius"
"OTU4295","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Pleurotaceae; g__Nematoctonus; s__Nematoctonus_leiosporus_SH180088.07FU"
"OTU4296","k__Fungi; p__Basidiomycota; c__Pucciniomycetes"
"OTU4297","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Sebacinales; f__Sebacinaceae; g__unidentified; s__Sebacinaceae_sp_SH016951.07FU"
"OTU4290","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Trechisporales"
"OTU4291","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Entolomataceae; g__Entoloma; s__Entoloma_ater_SH185816.07FU"
"OTU4292","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Microascales; f__Microascaceae"
"OTU4293","k__Fungi; p__Ascomycota"
"OTU4298","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Bolbitiaceae; g__Conocybe; s__Conocybe_macrospora_SH303020.07FU"
"OTU4299","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Sebacinales; f__Sebacinaceae; g__Sebacina; s__Sebacina_sp_SH214668.07FU"
"OTU3028","k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Fungi_sp_SH015367.07FU"
"OTU3029","k__Fungi"
"OTU3026","k__Fungi"
"OTU3027","k__Fungi"
"OTU3024","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Cantharellales; f__Ceratobasidiaceae"
"OTU3025","k__Fungi"
"OTU3022","k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__Glomus"
"OTU3023","k__Fungi"
"OTU3020","k__Fungi; p__Glomeromycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified"
"OTU3021","k__Fungi; p__Basidiomycota; c__Agaricomycetes"
"OTU6296","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__unidentified; g__unidentified; s__Hypocreales_sp_SH028178.07FU"
"OTU6297","k__Fungi; p__Ascomycota"
"OTU6294","k__Fungi"
"OTU6295","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales"
"OTU6292","k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales"
"OTU6293","k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales"
"OTU6290","k__Fungi; p__Ascomycota"
"OTU6291","k__Fungi; p__Ascomycota; c__Leotiomycetes; o__unidentified; f__unidentified; g__unidentified"
"OTU6298","k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporaceae; g__Stemphylium"
"OTU6299","k__Fungi; p__Ascomycota; c__Sordariomycetes"
"OTU3123","k__Fungi"
"OTU3122","k__Fungi"
"OTU3121","k__Fungi; p__Ascomycota; c__Orbiliomycetes; o__Orbiliales; f__Orbiliaceae; g__unidentified"
"OTU3120","k__Fungi"
"OTU3127","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Entolomataceae; g__Entoloma; s__Entoloma_turci_SH221240.07FU"
"OTU3126","k__Fungi"
"OTU3125","k__Fungi; p__Basidiomycota; c__Microbotryomycetes"
"OTU3124","k__Fungi"
"OTU3129","k__Fungi"
"OTU3128","k__Fungi"
"OTU714","k__Fungi"
"OTU715","k__Fungi"
"OTU716","k__Fungi"
"OTU717","k__Fungi"
"OTU710","k__Fungi"
"OTU247","k__Fungi"
"OTU712","k__Fungi"
"OTU713","k__Fungi"
"OTU1745","k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Paraglomerales"
"OTU1744","k__Fungi"
"OTU1747","k__Fungi; p__Zygomycota; c__Incertae_sedis; o__Mortierellales; f__Mortierellaceae; g__Mortierella"
"OTU1746","k__Fungi"
"OTU1741","k__Fungi"
"OTU1740","k__Fungi"
"OTU1743","k__Fungi"
"OTU1742","k__Fungi"
"OTU1749","k__Fungi; p__Zygomycota; c__Incertae_sedis; o__Mortierellales; f__Mortierellaceae; g__Mortierella; s__Mortierella_sp_SH014916.07FU"
"OTU1748","Unassignable"
"OTU2292","k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Incertae_sedis; g__Cryptococcus"
"OTU2293","k__Fungi"
"OTU2290","k__Fungi"
"OTU2291","k__Fungi; p__Basidiomycota; c__Microbotryomycetes; o__Sporidiobolales; f__Incertae_sedis; g__Rhodotorula"
"OTU2296","k__Fungi"
"OTU2297","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Polyporales"
"OTU2294","k__Fungi; p__Chytridiomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Chytridiomycota_sp_SH472477.07FU"
"OTU2295","k__Fungi"
"OTU2298","k__Fungi"
"OTU2299","k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Paraglomerales"
"OTU5718","k__Fungi"
"OTU5719","k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Incertae_sedis; g__Trimmatostroma; s__Trimmatostroma_cordae_SH002249.07FU"
"OTU5248","k__Fungi"
"OTU5249","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Incertae_sedis; g__Myrothecium"
"OTU5712","k__Fungi; p__Ascomycota; c__Taphrinomycetes; o__Taphrinales; f__Protomycetaceae; g__Protomyces; s__Protomyces_inouyei_SH122561.07FU"
"OTU5713","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Ophiocordycipitaceae"
"OTU5710","k__Fungi; p__Ascomycota; c__Orbiliomycetes; o__unidentified; f__unidentified; g__unidentified; s__Orbiliomycetes_sp_SH192297.07FU"
"OTU5711","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Xylariales; f__Diatrypaceae; g__unidentified; s__Diatrypaceae_sp_SH206617.07FU"
"OTU5240","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Microascales; f__Microascaceae; g__unidentified; s__Microascaceae_sp_SH194820.07FU"
"OTU5241","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Hypocreaceae; g__Acrostalagmus; s__Acrostalagmus_luteoalbus_SH205999.07FU"
"OTU5242","k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Incertae_sedis; g__Cryptococcus; s__Cryptococcus_sp_SH205063.07FU"
"OTU5715","k__Fungi; p__Ascomycota"
"OTU1408","k__Fungi"
"OTU1409","k__Fungi"
"OTU1402","k__Fungi"
"OTU1403","k__Fungi"
"OTU1400","k__Fungi"
"OTU1401","k__Protista; p__Cercozoa; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Cercozoa_sp_SH457224.07FU"
"OTU1406","k__Fungi; p__Chytridiomycota; c__Chytridiomycetes; o__unidentified; f__unidentified; g__unidentified; s__Chytridiomycetes_sp_SH477475.07FU"
"OTU1407","k__Fungi"
"OTU1404","k__Fungi"
"OTU1405","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__unidentified; f__unidentified; g__unidentified; s__Agaricomycetes_sp_SH463958.07FU"
"OTU7008","k__Fungi; p__Ascomycota"
"OTU7009","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Xylariales; f__Amphisphaeriaceae"
"OTU589","k__Fungi"
"OTU588","k__Fungi"
"OTU4049","k__Fungi; p__Basidiomycota; c__Microbotryomycetes"
"OTU4048","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Bolbitiaceae; g__Conocybe"
"OTU4599","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Entolomataceae; g__Clitopilus; s__Clitopilus_hobsonii_SH190268.07FU"
"OTU4598","k__Fungi; p__Basidiomycota; c__Microbotryomycetes; o__unidentified; f__unidentified; g__unidentified; s__Microbotryomycetes_sp_SH473947.07FU"
"OTU4041","Unassignable"
"OTU4592","k__Fungi"
"OTU4043","k__Fungi"
"OTU4590","k__Fungi"
"OTU4045","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Clavariaceae; g__unidentified; s__Clavariaceae_sp_SH014395.07FU"
"OTU4044","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Psathyrellaceae; g__Coprinopsis; s__Coprinopsis_urticicola_SH219026.07FU"
"OTU4595","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales"
"OTU4046","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Trechisporales; f__Hydnodontaceae; g__Trechispora"
"OTU2865","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Hygrophoraceae; g__Cuphophyllus"
"OTU2864","k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Claroideoglomeraceae; g__unidentified; s__Claroideoglomeraceae_sp_SH206039.07FU"
"OTU4472","k__Fungi; p__Basidiomycota"
"OTU581","k__Fungi"
"OTU6579","k__Fungi; p__Ascomycota"
"OTU2866","k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales"
"OTU1869","k__Fungi"
"OTU6573","k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Incertae_sedis; g__Coniosporium"
"OTU6572","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Lasiosphaeriaceae; g__Podospora; s__Podospora_sp_SH217071.07FU"
"OTU6571","k__Fungi; p__Ascomycota; c__Dothideomycetes"
"OTU2128","k__Fungi; p__Chytridiomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Chytridiomycota_sp_SH199186.07FU"
"OTU6577","k__Fungi"
"OTU6576","k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales"
"OTU6575","k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__unidentified; g__unidentified; s__Chaetothyriales_sp_SH206093.07FU"
"OTU6574","k__Fungi; p__Ascomycota; c__Sordariomycetes"
"OTU4625","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Entolomataceae; g__Clitopilus; s__Clitopilus_sp_SH010472.07FU"
"OTU4624","k__Fungi"
"OTU4627","k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__unidentified; s__Glomeraceae_sp_SH175589.07FU"
"OTU4626","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Psathyrellaceae; g__Coprinellus; s__Coprinellus_brevisetulosus_SH220375.07FU"
"OTU4621","k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Diversisporales; f__Diversisporaceae"
"OTU4476","k__Fungi; p__Basidiomycota"
"OTU4623","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Polyporales; f__Phanerochaetaceae; g__Byssomerulius; s__Byssomerulius_corium_SH185170.07FU"
"OTU4622","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Trechisporales"
"OTU2862","k__Fungi"
"OTU4629","k__Fungi"
"OTU4628","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__unidentified; g__unidentified; s__Agaricales_sp_SH190259.07FU"
"OTU2122","k__Fungi; p__Chytridiomycota; c__Chytridiomycetes; o__Spizellomycetales; f__Spizellomycetaceae; g__Powellomyces"
"OTU8030","k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Fungi_sp_SH456979.07FU"
"OTU8031","k__Fungi; p__Ascomycota"
"OTU8032","k__Fungi; p__Ascomycota"
"OTU8033","k__Fungi"
"OTU7927","k__Fungi; p__Rozellomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Rozellomycota_sp_SH469173.07FU"
"OTU2734","k__Fungi"
"OTU7925","k__Fungi"
"OTU7924","k__Fungi; p__Ascomycota; c__Leotiomycetes"
"OTU7923","k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Incertae_sedis; f__Myxotrichaceae"
"OTU8039","k__Fungi"
"OTU2502","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Hygrophoraceae; g__Hygrocybe"
"OTU2503","k__Fungi; p__Chytridiomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Chytridiomycota_sp_SH005882.07FU"
"OTU2500","Unassignable"
"OTU7021","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Lasiosphaeriaceae; g__Schizothecium"
"OTU2506","k__Fungi; p__Chytridiomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Chytridiomycota_sp_SH465883.07FU"
"OTU2507","k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Claroideoglomeraceae; g__unidentified; s__Claroideoglomeraceae_sp_SH206039.07FU"
"OTU2504","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Cantharellales; f__Ceratobasidiaceae"
"OTU2505","k__Fungi; p__Chytridiomycota; c__Chytridiomycetes; o__Rhizophydiales; f__Alphamycetaceae; g__Betamyces; s__Betamyces_americaemeridionalis_SH027198.07FU"
"OTU7028","k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Verrucariales; f__Verrucariaceae"
"OTU2509","k__Fungi; p__Zygomycota; c__Incertae_sedis; o__Mortierellales; f__Mortierellaceae; g__Mortierella; s__Mortierella_globulifera_SH185972.07FU"
"OTU5879","k__Fungi"
"OTU5878","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Incertae_sedis; f__Plectosphaerellaceae; g__Verticillium"
"OTU5877","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__unidentified; f__unidentified; g__unidentified; s__Sordariomycetes_sp_SH174616.07FU"
"OTU5876","k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__unidentified; g__unidentified"
"OTU5875","k__Fungi"
"OTU5874","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae"
"OTU5873","k__Fungi"
"OTU5872","k__Fungi; p__Ascomycota; c__Orbiliomycetes; o__Orbiliales; f__Orbiliaceae"
"OTU5871","k__Fungi"
"OTU5870","k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__Exophiala; s__Exophiala_sp_SH193971.07FU"
"OTU6999","k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__unidentified; g__unidentified; s__Pleosporales_sp_SH210932.07FU"
"OTU6998","k__Fungi; p__Ascomycota"
"OTU6995","k__Fungi; p__Ascomycota"
"OTU6994","k__Fungi; p__Ascomycota; c__Eurotiomycetes"
"OTU6997","k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Vibrisseaceae; g__Phialocephala; s__Phialocephala_xalapensis_SH181581.07FU"
"OTU6996","k__Fungi; p__Ascomycota"
"OTU6991","k__Fungi"
"OTU6990","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Lasiosphaeriaceae; g__Podospora"
"OTU6993","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Lasiosphaeriaceae; g__Cercophora; s__Cercophora_sp_SH028047.07FU"
"OTU6992","k__Fungi; p__Ascomycota; c__Dothideomycetes; o__unidentified; f__unidentified; g__unidentified; s__Dothideomycetes_sp_SH203657.07FU"
"OTU1978","k__Fungi"
"OTU1979","k__Fungi"
"OTU1972","k__Fungi; p__Zygomycota; c__Incertae_sedis; o__Mortierellales; f__Mortierellaceae; g__Mortierella"
"OTU1973","k__Fungi"
"OTU1970","k__Fungi"
"OTU1971","k__Fungi"
"OTU1976","k__Fungi"
"OTU1977","k__Fungi"
"OTU1974","k__Fungi; p__Zygomycota; c__Incertae_sedis; o__Mortierellales; f__Mortierellaceae; g__Mortierella"
"OTU1975","k__Fungi"
"OTU4614","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Russulales; f__Peniophoraceae"
"OTU5442","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales"
"OTU6411","k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__unidentified; g__unidentified; s__Pleosporales_sp_SH186988.07FU"
"OTU5443","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Magnaporthales; f__Magnaporthaceae"
"OTU4617","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Polyporales; f__Meripilaceae; g__Physisporinus; s__Physisporinus_vitreus_SH009209.07FU"
"OTU5440","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__unidentified; f__unidentified; g__unidentified"
"OTU5441","k__Fungi; p__Ascomycota"
"OTU5330","k__Fungi; p__Ascomycota; c__Sordariomycetes"
"OTU5331","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales"
"OTU5332","k__Fungi; p__Ascomycota; c__Sordariomycetes"
"OTU5333","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Clavicipitaceae; g__unidentified; s__Clavicipitaceae_sp_SH014042.07FU"
"OTU6371","k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Verrucariales; f__Verrucariaceae"
"OTU6370","k__Fungi"
"OTU6373","k__Fungi"
"OTU6372","k__Fungi; p__Ascomycota"
"OTU6375","k__Fungi"
"OTU6374","k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__unidentified; g__unidentified; s__Pleosporales_sp_SH198828.07FU"
"OTU6377","k__Fungi; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__Pyronemataceae; g__Geopyxis; s__Geopyxis_sp_SH207748.07FU"
"OTU6376","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales"
"OTU6379","k__Fungi"
"OTU6378","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Clavicipitaceae; g__Drechmeria; s__Drechmeria_coniospora_SH007118.07FU"
"OTU361","Unassignable"
"OTU360","k__Fungi"
"OTU363","k__Fungi"
"OTU362","k__Fungi"
"OTU365","Unassignable"
"OTU364","k__Fungi"
"OTU367","k__Fungi"
"OTU366","k__Fungi"
"OTU369","k__Fungi"
"OTU368","k__Fungi"
"OTU3826","k__Fungi"
"OTU3827","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales"
"OTU3824","k__Fungi"
"OTU3825","k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__Rhizophagus; s__Rhizophagus_irregularis_SH175545.07FU"
"OTU3822","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Sebacinales"
"OTU3823","k__Fungi; p__Basidiomycota; c__Microbotryomycetes; o__Leucosporidiales"
"OTU3820","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Strophariaceae; g__Hypholoma; s__Hypholoma_capnoides_SH219736.07FU"
"OTU3821","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Agaricaceae; g__Agaricus; s__Agaricus_campestris_SH174657.07FU"
"OTU3828","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Polyporales; f__Polyporaceae"
"OTU3829","k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae"
"OTU4838","k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae"
"OTU4839","k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__unidentified"
"OTU189","k__Fungi"
"OTU188","k__Fungi"
"OTU185","k__Fungi"
"OTU4831","k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae"
"OTU4832","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Psathyrellaceae"
"OTU4833","k__Fungi"
"OTU4834","k__Fungi; p__Ascomycota"
"OTU4835","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Auriculariales; f__unidentified; g__unidentified"
"OTU4836","k__Fungi"
"OTU4837","k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__Exophiala"
"OTU6740","k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Fungi_sp_SH018042.07FU"
"OTU6741","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Coniochaetales"
"OTU6742","k__Fungi; p__Ascomycota; c__Eurotiomycetes"
"OTU6743","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Lasiosphaeriaceae; g__Lasiosphaeria; s__Lasiosphaeria_ovina_SH212625.07FU"
"OTU6744","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Chaetomiaceae"
"OTU6745","k__Fungi; p__Ascomycota; c__Sordariomycetes"
"OTU6746","k__Fungi"
"OTU6747","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Lasiosphaeriaceae; g__Podospora"
"OTU6748","k__Fungi; p__Ascomycota"
"OTU6749","k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales"
"OTU985","k__Fungi"
"OTU984","k__Fungi"
"OTU987","k__Fungi"
"OTU986","k__Fungi"
"OTU981","k__Fungi"
"OTU980","k__Fungi"
"OTU983","k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__unidentified; f__unidentified; g__unidentified; s__Glomeromycetes_sp_SH479652.07FU"
"OTU982","k__Fungi"
"OTU989","k__Fungi"
"OTU988","k__Protista; p__Cercozoa; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Cercozoa_sp_SH210477.07FU"
"OTU7567","k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales"
"OTU7566","k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__unidentified; g__unidentified; s__Helotiales_sp_SH198117.07FU"
"OTU2085","k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Fungi_sp_SH458120.07FU"
"OTU2084","k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Fungi_sp_SH458120.07FU"
"OTU7563","k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__unidentified; g__unidentified"
"OTU7562","k__Fungi; p__Ascomycota"
"OTU7561","k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Leotiales; f__Leotiaceae; g__Alatospora; s__Alatospora_acuminata_SH215248.07FU"
"OTU2080","k__Fungi; p__Zygomycota; c__Incertae_sedis; o__Mortierellales; f__Mortierellaceae; g__Mortierella"
"OTU2089","k__Fungi"
"OTU7568","k__Fungi; p__Ascomycota; c__Leotiomycetes"
"OTU5051","k__Fungi"
"OTU5050","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Lulworthiales; f__Lulworthiaceae; g__Lulwoana; s__Lulwoana_sp_SH031216.07FU"
"OTU5053","k__Fungi"
"OTU5052","k__Fungi"
