"","taxonomy"
"OTU13173","k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Mycobacteriaceae; g__Mycobacterium; s__llatzerense"
"OTU13170","k__Bacteria; p__OD1; c__ZB2; o__; f__; g__; s__"
"OTU13171","k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Mycobacteriaceae; g__Mycobacterium"
"OTU14444","k__Bacteria; p__OD1; c__ZB2; o__; f__; g__; s__"
"OTU11740","k__Bacteria; p__Tenericutes; c__Mollicutes; o__Anaeroplasmatales; f__Anaeroplasmataceae; g__Asteroleplasma; s__"
"OTU12887","k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__MKC10; f__; g__; s__"
"OTU11747","k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Gemmatales; f__Gemmataceae; g__; s__"
"OTU13057","k__Bacteria; p__Actinobacteria; c__MB-A2-108; o__0319-7L14; f__; g__; s__"
"OTU7411","k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Haliangiaceae; g__; s__"
"OTU216","k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__; g__; s__"
"OTU11746","k__Bacteria; p__Chloroflexi"
"OTU13081","k__Bacteria; p__OD1; c__; o__; f__; g__; s__"
"OTU19289","k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__; g__; s__"
"OTU11745","k__Bacteria; p__Acidobacteria; c__DA052; o__Ellin6513; f__; g__; s__"
"OTU18493","k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__; s__"
"OTU11744","k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Gemmatales; f__Isosphaeraceae; g__; s__"
"OTU9803","k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__"
"OTU11826","k__Bacteria; p__Verrucomicrobia; c__[Spartobacteria]; o__[Chthoniobacterales]; f__[Chthoniobacteraceae]; g__Candidatus Xiphinematobacter; s__"
"OTU11827","k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Myxococcaceae; g__; s__"
"OTU11824","k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Gemmatales; f__Isosphaeraceae; g__; s__"
"OTU11825","k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Gemmatales; f__Gemmataceae; g__; s__"
"OTU11822","k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Gemmatales; f__Isosphaeraceae; g__; s__"
"OTU11823","k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Gemmatales; f__Isosphaeraceae; g__; s__"
"OTU11820","k__Bacteria; p__Acidobacteria; c__DA052; o__Ellin6513; f__; g__; s__"
"OTU11821","k__Bacteria; p__Verrucomicrobia; c__[Spartobacteria]; o__[Chthoniobacterales]; f__[Chthoniobacteraceae]; g__; s__"
"OTU15465","k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__envOPS12; f__; g__; s__"
"OTU11828","k__Bacteria; p__Verrucomicrobia; c__[Spartobacteria]; o__[Chthoniobacterales]; f__[Chthoniobacteraceae]; g__Candidatus Xiphinematobacter; s__"
"OTU11829","k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Gemmatales; f__Isosphaeraceae; g__Singulisphaera; s__"
"OTU17257","k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Sporichthyaceae; g__; s__"
"OTU15501","k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__EB1017; g__; s__"
"OTU17255","k__Bacteria"
"OTU5074","k__Bacteria; p__Acidobacteria; c__RB25; o__; f__; g__; s__"
"OTU17253","k__Bacteria; p__TM7; c__TM7-1; o__; f__; g__; s__"
"OTU17252","k__Bacteria; p__TM7; c__TM7-1; o__; f__; g__; s__"
"OTU17251","k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Christensenellaceae; g__; s__"
"OTU17250","k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__C111; g__; s__"
"OTU8290","k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__"
"OTU8291","k__Bacteria; p__Verrucomicrobia; c__[Spartobacteria]; o__[Chthoniobacterales]; f__[Chthoniobacteraceae]; g__DA101; s__"
"OTU8292","k__Bacteria; p__Verrucomicrobia; c__[Spartobacteria]; o__[Chthoniobacterales]; f__[Chthoniobacteraceae]; g__DA101; s__"
"OTU8293","k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Gaiellales; f__Gaiellaceae; g__; s__"
"OTU8294","k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__; g__; s__"
"OTU19063","k__Bacteria; p__Chloroflexi; c__Ellin6529; o__; f__; g__; s__"
"OTU8296","k__Bacteria; p__Verrucomicrobia; c__[Spartobacteria]; o__[Chthoniobacterales]; f__[Chthoniobacteraceae]; g__DA101; s__"
"OTU5078","k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Bdellovibrionales; f__Bdellovibrionaceae; g__Bdellovibrio; s__"
"OTU15502","k__Bacteria; p__TM7; c__TM7-1; o__; f__; g__; s__"
"OTU19286","k__Bacteria; p__Chloroflexi; c__TK10; o__B07_WMSP1; f__; g__; s__"
"OTU19531","k__Bacteria; p__Chloroflexi; c__S085; o__; f__; g__; s__"
"OTU19287","k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria"
"OTU4470","k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__; g__; s__"
"OTU9216","k__Bacteria; p__BRC1; c__PRR-11; o__; f__; g__; s__"
"OTU9215","k__Bacteria; p__Tenericutes; c__Mollicutes; o__Anaeroplasmatales; f__Anaeroplasmataceae; g__Asteroleplasma; s__"
"OTU4473","k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Hylemonella; s__"
"OTU2861","k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae; g__; s__"
"OTU19284","k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__; s__"
"OTU9211","k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Pirellulales; f__Pirellulaceae; g__; s__"
"OTU9210","k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Planctomycetales; f__Planctomycetaceae; g__Planctomyces; s__"
"OTU4478","k__Bacteria; p__Proteobacteria; c__Betaproteobacteria"
"OTU4479","k__Bacteria; p__TM6; c__SJA-4; o__; f__; g__; s__"
"OTU19285","k__Bacteria; p__TM7; c__SC3; o__; f__; g__; s__"
"OTU2869","k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Bdellovibrionales; f__Bdellovibrionaceae; g__; s__"
"OTU2868","k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__; f__; g__; s__"
"OTU9219","k__Bacteria; p__BRC1; c__PRR-11; o__; f__; g__; s__"
"OTU9218","k__Bacteria; p__Planctomycetes; c__028H05-P-BN-P5; o__; f__; g__; s__"
"OTU9046","k__Bacteria; p__Verrucomicrobia; c__[Spartobacteria]; o__[Chthoniobacterales]; f__[Chthoniobacteraceae]"
"OTU8035","k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__"
"OTU8740","k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Gaiellales; f__Gaiellaceae; g__; s__"
"OTU8037","k__Bacteria; p__Verrucomicrobia; c__[Spartobacteria]; o__[Chthoniobacterales]; f__[Chthoniobacteraceae]; g__DA101; s__"
"OTU2739","k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__"
"OTU8031","k__Bacteria; p__Verrucomicrobia; c__[Spartobacteria]; o__[Chthoniobacterales]; f__[Chthoniobacteraceae]; g__DA101; s__"
"OTU8744","k__Bacteria; p__Verrucomicrobia; c__[Spartobacteria]; o__[Chthoniobacterales]; f__[Chthoniobacteraceae]; g__DA101; s__"
"OTU8033","k__Bacteria; p__Verrucomicrobia; c__[Spartobacteria]; o__[Chthoniobacterales]; f__[Chthoniobacteraceae]; g__DA101; s__"
"OTU7927","k__Bacteria; p__Verrucomicrobia; c__[Spartobacteria]; o__[Chthoniobacterales]; f__[Chthoniobacteraceae]; g__DA101; s__"
"OTU2734","k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Spirobacillales; f__; g__; s__"
"OTU7925","k__Bacteria; p__Verrucomicrobia; c__[Spartobacteria]; o__[Chthoniobacterales]; f__[Chthoniobacteraceae]; g__DA101; s__"
"OTU2736","k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Myxococcaceae; g__Anaeromyxobacter; s__"
"OTU8038","k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Gaiellales; f__Gaiellaceae; g__; s__"
"OTU7922","k__Bacteria; p__Verrucomicrobia; c__[Spartobacteria]; o__[Chthoniobacterales]; f__[Chthoniobacteraceae]; g__DA101; s__"
"OTU1823","k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__; s__"
"OTU7920","k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__; g__; s__"
"OTU18425","k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Gaiellales; f__AK1AB1_02E; g__; s__"
"OTU18424","k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Amaricoccus; s__"
"OTU18427","k__Bacteria; p__Cyanobacteria; c__4C0d-2; o__SM1D11; f__; g__; s__"
"OTU18426","k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__; g__; s__"
"OTU18421","k__Bacteria; p__OD1; c__; o__; f__; g__; s__"
"OTU18420","k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__Phycisphaerales; f__; g__; s__"
"OTU18423","k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__BD7-3; f__; g__; s__"
"OTU18422","k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__Phycisphaerales; f__; g__; s__"
"OTU18429","k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__; g__; s__"
"OTU18591","k__Bacteria"
"OTU10151","k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__; g__; s__"
"OTU10150","k__Bacteria; p__Elusimicrobia; c__Elusimicrobia; o__FAC88; f__; g__; s__"
"OTU10153","k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]"
"OTU10152","k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__"
"OTU10155","k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__"
"OTU10154","k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__"
"OTU10157","k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__"
"OTU10156","k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__Flavisolibacter; s__"
"OTU10159","k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__"
"OTU19533","k__Bacteria; p__Acidobacteria; c__[Chloracidobacteria]; o__RB41; f__Ellin6075; g__; s__"
"OTU1185","k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__RB40; g__; s__"
"OTU1184","k__Bacteria; p__Planctomycetes"
"OTU1183","k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__; f__; g__; s__"
"OTU1182","k__Bacteria; p__Acidobacteria; c__; o__; f__; g__; s__"
"OTU1181","k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Cystobacterineae; g__; s__"
"OTU1180","k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__MIZ46; f__; g__; s__"
"OTU10667","k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae; g__; s__"
"OTU18590","k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__; g__; s__"
"OTU6414","k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Coxiellaceae; g__; s__"
"OTU5182","k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Legionellaceae; g__Legionella; s__"
"OTU16918","k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__A31; f__; g__; s__"
"OTU18593","k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Amaricoccus; s__"
"OTU4294","k__Bacteria; p__Acidobacteria; c__Sva0725; o__Sva0725; f__; g__; s__"
"OTU4295","k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Coxiellaceae; g__; s__"
"OTU4296","k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__; f__; g__; s__"
"OTU10678","k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__"
"OTU4290","k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Sinobacteraceae; g__Steroidobacter; s__"
"OTU4291","k__Bacteria; p__Chlamydiae; c__Chlamydiia; o__Chlamydiales; f__Parachlamydiaceae; g__; s__"
"OTU4292","k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Candidatus Glomeribacter; s__"
"OTU17760","k__Bacteria; p__TM7; c__TM7-1; o__; f__; g__; s__"
"OTU20498","k__Bacteria; p__Chloroflexi; c__Ellin6529; o__; f__; g__; s__"
"OTU4298","k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__SC-I-84; f__; g__; s__"
"OTU4299","k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Coxiellaceae; g__; s__"
"OTU11694","k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Coxiellaceae; g__; s__"
"OTU20497","k__Bacteria; p__Verrucomicrobia; c__[Spartobacteria]; o__[Chthoniobacterales]; f__[Chthoniobacteraceae]; g__Candidatus Xiphinematobacter; s__"
"OTU2468","k__Bacteria; p__Tenericutes; c__RF3; o__ML615J-28; f__; g__; s__"
"OTU8525","k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Frankiaceae; g__; s__"
"OTU9748","k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__; g__; s__"
"OTU8702","k__Bacteria; p__Verrucomicrobia; c__[Pedosphaerae]; o__[Pedosphaerales]; f__; g__; s__"
"OTU14700","k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__Chlorophyta; f__; g__; s__"
"OTU18280","k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__; g__; s__"
"OTU18283","k__Bacteria; p__Acidobacteria; c__Solibacteres; o__Solibacterales; f__Solibacteraceae; g__Candidatus Solibacter; s__"
"OTU14703","k__Bacteria; p__Chloroflexi; c__TK17; o__mle1-48; f__; g__; s__"
"OTU14704","k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__; g__; s__"
"OTU14705","k__Bacteria; p__Chloroflexi; c__TK17; o__; f__; g__; s__"
"OTU14706","k__Bacteria; p__Chloroflexi; c__Thermomicrobia; o__JG30-KF-CM45; f__; g__; s__"
"OTU14707","k__Bacteria; p__Gemmatimonadetes; c__Gemm-1; o__; f__; g__; s__"
"OTU18289","k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Ellin329; f__; g__; s__"
"OTU14709","k__Bacteria; p__Gemmatimonadetes; c__Gemm-1; o__; f__; g__; s__"
"OTU14254","k__Bacteria; p__Proteobacteria; c__TA18; o__PHOS-HD29; f__; g__; s__"
"OTU14255","k__Bacteria; p__WS6; c__B142; o__; f__; g__; s__"
"OTU14252","k__Bacteria; p__WS6; c__B142; o__; f__; g__; s__"
"OTU14253","k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__"
"OTU14250","k__Bacteria; p__OD1; c__; o__; f__; g__; s__"
"OTU14251","k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Christensenellaceae; g__; s__"
"OTU6147","k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__; g__; s__"
"OTU14668","k__Bacteria; p__Armatimonadetes; c__Chthonomonadetes; o__SJA-22; f__; g__; s__"
"OTU18595","k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__; g__; s__"
"OTU20490","k__Bacteria; p__OD1; c__; o__; f__; g__; s__"
"OTU19776","k__Bacteria; p__Acidobacteria; c__Solibacteres; o__Solibacterales; f__; g__; s__"
"OTU15254","k__Bacteria; p__OD1; c__; o__; f__; g__; s__"
"OTU19774","k__Bacteria; p__Chloroflexi; c__S085; o__; f__; g__; s__"
"OTU15256","k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__; g__; s__"
"OTU15251","k__Bacteria; p__Gemmatimonadetes; c__Gemm-1; o__; f__; g__; s__"
"OTU15250","k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__; g__; s__"
"OTU15253","k__Bacteria; p__Chloroflexi; c__Ktedonobacteria; o__Ktedonobacterales; f__Ktedonobacteraceae; g__; s__"
"OTU15252","k__Bacteria; p__OD1; c__; o__; f__; g__; s__"
"OTU3026","k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__Luteolibacter; s__"
"OTU3027","k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Spirobacillales; f__; g__; s__"
"OTU3024","k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__MIZ46; f__; g__; s__"
"OTU3025","k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae; g__; s__"
"OTU15259","k__Bacteria; p__TM7; c__TM7-3; o__; f__; g__; s__"
"OTU3023","k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfuromonadales; f__Geobacteraceae; g__Geobacter; s__"
"OTU19778","k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria"
"OTU3021","k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Bdellovibrionales; f__Bdellovibrionaceae; g__; s__"
"OTU18594","k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__"
"OTU19538","k__Bacteria; p__OD1; c__; o__; f__; g__; s__"
"OTU6296","k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__; g__; s__"
"OTU6297","k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Polaromonas; s__"
"OTU6294","k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__; g__; s__"
"OTU6295","k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales"
"OTU13400","k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__; g__; s__"
"OTU6293","k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Gaiellales; f__Gaiellaceae; g__; s__"
"OTU6290","k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Legionellaceae; g__; s__"
"OTU6291","k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__; s__"
"OTU19473","k__Bacteria; p__Chloroflexi; c__TK17; o__; f__; g__; s__"
"OTU6298","k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Coxiellaceae; g__; s__"
"OTU6299","k__Bacteria; p__Chlamydiae; c__Chlamydiia; o__Chlamydiales; f__Parachlamydiaceae; g__; s__"
"OTU3123","k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Sinobacteraceae; g__; s__"
"OTU3122","k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__; s__"
"OTU3121","k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__; f__; g__; s__"
"OTU3120","k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__A21b; f__EB1003; g__; s__"
"OTU3127","k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Sinobacteraceae; g__; s__"
"OTU3126","k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__SC-I-84; f__; g__; s__"
"OTU3125","k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__SC-I-84; f__; g__; s__"
"OTU3124","k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__; s__"
"OTU19484","k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Devosia; s__"
"OTU19485","k__Bacteria; p__Chloroflexi; c__S085; o__; f__; g__; s__"
"OTU3129","k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__; f__; g__; s__"
"OTU3128","k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae; g__; s__"
"OTU19480","k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__Phycisphaerales; f__; g__; s__"
"OTU19481","k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria"
"OTU19482","k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__; s__"
"OTU19483","k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Bradyrhizobiaceae; g__Bosea; s__"
"OTU4826","k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Coxiellaceae; g__; s__"
"OTU13909","k__Bacteria; p__Cyanobacteria; c__ML635J-21; o__; f__; g__; s__"
"OTU20064","k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria"
"OTU19472","k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales"
"OTU2109","k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__; f__; g__; s__"
"OTU19068","k__Bacteria; p__Cyanobacteria; c__4C0d-2; o__SM1D11; f__; g__; s__"
"OTU20226","k__Bacteria; p__Chloroflexi; c__S085; o__; f__; g__; s__"
"OTU12046","k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Gemmatales; f__Gemmataceae; g__; s__"
"OTU10815","k__Bacteria; p__Elusimicrobia; c__Elusimicrobia; o__FAC88; f__; g__; s__"
"OTU15303","k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__EB1017; g__; s__"
"OTU20109","k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__; s__"
"OTU19475","k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__; g__; s__"
"OTU14569","k__Bacteria; p__WS6; c__B142; o__; f__; g__; s__"
"OTU6238","k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Coxiellaceae; g__; s__"
"OTU1902","k__Bacteria; p__WS3; c__PRR-12; o__Sediment-1; f__PRR-10; g__; s__"
"OTU6239","k__Bacteria; p__Chlamydiae; c__Chlamydiia; o__Chlamydiales"
"OTU13157","k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__; f__; g__; s__"
"OTU20442","k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Gaiellales; f__Gaiellaceae; g__; s__"
"OTU714","k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Spirobacillales; f__; g__; s__"
"OTU5241","k__Bacteria; p__Chlamydiae; c__Chlamydiia; o__Chlamydiales; f__Rhabdochlamydiaceae; g__Candidatus Rhabdochlamydia; s__"
"OTU19474","k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__; g__; s__"
"OTU715","k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfobacterales; f__Desulfobulbaceae; g__; s__"
"OTU9044","k__Bacteria; p__Acidobacteria; c__[Chloracidobacteria]; o__; f__; g__; s__"
"OTU716","k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Thermoactinomycetaceae; g__Thermoactinomyces; s__"
"OTU12706","k__Bacteria"
"OTU12707","k__Bacteria; p__Tenericutes; c__Mollicutes; o__Anaeroplasmatales; f__Anaeroplasmataceae; g__Asteroleplasma; s__"
"OTU12704","k__Bacteria; p__OD1; c__ABY1; o__; f__; g__; s__"
"OTU12705","k__Bacteria; p__OD1; c__SM2F11; o__; f__; g__; s__"
"OTU12702","k__Bacteria; p__OD1; c__SM2F11; o__; f__; g__; s__"
